AGNO;RBD;DGV_RBD;NOM_RBD;P_JURIDICA;COD_REG_RBD;NOM_REG_RBD_A;COD_PRO_RBD;COD_COM_RBD;NOM_COM_RBD;COD_DEPROV_RBD;NOM_DEPROV_RBD;COD_DEPE;COD_DEPE2;RURAL_RBD;LATITUD;LONGITUD;CONVENIO_PIE;PACE;ENS_01;ENS_02;ENS_03;ENS_04;ENS_05;ENS_06;ENS_07;ENS_08;ENS_09;ENS_10;ENS_11;MAT_ENS_1;MAT_ENS_2;MAT_ENS_3;MAT_ENS_4;MAT_ENS_5;MAT_ENS_6;MAT_ENS_7;MAT_ENS_8;MAT_TOTAL;MATRICULA;ESTADO_ESTAB;ORI_RELIGIOSA;ORI_OTRO_GLOSA;PAGO_MATRICULA;PAGO_MENSUAL;ESPE_01;ESPE_02;ESPE_03;ESPE_04;ESPE_05;ESPE_06;ESPE_07;ESPE_08;ESPE_09;ESPE_10;ESPE_11
2025;24861;4;ESCUELA DE PARVULOS N°1532 LOS DOS RATONCITOS;0;13;RM;131;13122;PEÑALOLÉN;133;SANTIAGO ORIENTE;4;3;0;-33,46501074;-70,53782031;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;9; ;SIN INFORMACION;SIN INFORMACION;0;0;0;0;0;0;0;0;0;0;0
2025;24862;2;ESCUELA DE PARVULOS PANDORA;0;13;RM;131;13118;MACUL;133;SANTIAGO ORIENTE;4;3;0; ; ;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;3;9; ;SIN INFORMACION;SIN INFORMACION;0;0;0;0;0;0;0;0;0;0;0
2025;24863;0;ANEXO NOTRE DAME DE LA ANUNCIACION;1;13;RM;131;13120;ÑUÑOA;133;SANTIAGO ORIENTE;4;3;0; ; ;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;3;9; ;SIN INFORMACION;SIN INFORMACION;0;0;0;0;0;0;0;0;0;0;0
2025;24864;9;COLEGIO SAN CRISTOBAL DE LAS CASAS;1;13;RM;131;13110;LA FLORIDA;136;CORDILLERA;3;2;0;-33,56054625;-70,56758681;1;0;10;110;310;0;0;0;0;0;0;0;0;26;418;0;0;256;0;0;0;700;1;1;1; ;GRATUITO;GRATUITO;0;0;0;0;0;0;0;0;0;0;0
2025;24865;7;COLEGIO AMERICO VESPUCIO- ANEXO;1;13;RM;131;13122;PEÑALOLÉN;133;SANTIAGO ORIENTE;3;2;0; ; ;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;3;9; ;SIN INFORMACION;SIN INFORMACION;0;0;0;0;0;0;0;0;0;0;0
2025;24866;5;ESCUELA BASICA PARTICULAR EMPRENDER;1;13;RM;132;13201;PUENTE ALTO;136;CORDILLERA;3;2;0;-33,59041177;-70,59150803;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;3;1; ;GRATUITO;$25.001 A $50.000;0;0;0;0;0;0;0;0;0;0;0
2025;24867;3;ESCUELA BASICA  ANA KUHLMANN;1;13;RM;131;13114;LAS CONDES;133;SANTIAGO ORIENTE;4;3;0; ; ;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;3;9; ;SIN INFORMACION;SIN INFORMACION;0;0;0;0;0;0;0;0;0;0;0
2025;24868;1;ES.ESP.PART.PUERTA ABIERTA;1;13;RM;131;13109;LA CISTERNA;132;SANTIAGO SUR;3;2;0;-33,51857;-70,652985;0;0;214;0;0;0;0;0;0;0;0;0;0;0;0;0;140;0;0;0;0;140;1;1;1; ;GRATUITO;GRATUITO;0;0;0;0;0;0;0;0;0;0;0
2025;24870;3;INST DE EDUC Y CAPACIT DE ADULTOS PREM;1;13;RM;131;13101;SANTIAGO;131;SANTIAGO CENTRO;4;3;0; ; ;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;3;9; ;SIN INFORMACION;SIN INFORMACION;0;0;0;0;0;0;0;0;0;0;0
2025;24871;1;INST DE EDUC ALTERNATIVA DE ADULT INSEA;1;13;RM;131;13123;PROVIDENCIA;133;SANTIAGO ORIENTE;4;3;0; ; ;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;3;9; ;SIN INFORMACION;SIN INFORMACION;0;0;0;0;0;0;0;0;0;0;0
